gene,log2fc,p_value,mean_active,mean_latent,p_adj,significant
SQRDL,0.9099898684957928,3.7199033931545344e-19,842.6066948453611,448.42586987951813,4.121825978377696e-17,True
MCTP1,1.3792609985184403,3.838102616051558e-19,292.7259924020619,112.52845461445783,4.21359993650674e-17,True
GCN1L1,-0.43497346802435743,3.831128248050418e-19,1207.4475216494845,1632.331365060241,4.21359993650674e-17,True
RHOT1,0.6429514364283259,3.866109609115644e-19,1759.4231938144333,1126.7372301204819,4.2248774870624767e-17,True
SLC29A2,-0.9483649942672668,4.2846909583932737e-19,58.13230589690721,112.17701007228915,4.6586334442533103e-17,True
FBXO6,1.1668354469938202,4.302142289953945e-19,1686.2164020618557,751.0361469879516,4.6586334442533103e-17,True
ODF2,-0.39935482422852303,4.515653572546999e-19,364.90652989690733,481.28177469879523,4.867711088632903e-17,True
MRI1,-0.5232556784926804,4.746079582571622e-19,949.3028577319586,1364.3331855421686,5.093056481783953e-17,True
GAS6,1.2319670652628314,4.923311227129576e-19,344.11156525773197,146.50087843373493,5.2595535140765865e-17,True
FCER1G,0.8470730600270951,5.587308566283716e-19,13945.639278350513,7752.54021686747,5.942252320293614e-17,True
C20orf4,-0.40283304509151124,5.641827932521515e-19,579.5880948453608,766.2743457831325,5.97356741495378e-17,True
SLC7A6,-0.6576533924470921,5.749669743143074e-19,435.68359999999996,687.297256626506,6.060813375703426e-17,True
TNFSF10,0.9871939563007339,6.103815055814325e-19,4990.435659793815,2517.465156626506,6.405779122231924e-17,True
USP5,-0.48590088699455997,6.352105822016757e-19,860.071406185567,1204.4956927710841,6.637114780609876e-17,True
LDOC1L,-0.5900722225215128,6.530645772287152e-19,218.23829639175258,328.5189313253012,6.793867870445277e-17,True
